Rk.,Team,Venue,Year,Park Factor,wOBACon,BACON,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1, Rockies,Coors Field,2019-2021,115,115,114,132,113,120,118,117,224,119,94,87,10232
2, Braves,Truist Park,2019-2021,106,107,107,112,105,107,104,117,94,107,102,99,11072
3, Reds,Great American Ball Park,2019-2021,105,109,105,110,102,102,99,96,44,134,103,106,10682
4, Red Sox,Fenway Park,2019-2021,104,105,106,108,105,104,98,139,103,86,108,101,11022
5, Phillies,Citizens Bank Park,2019-2021,104,104,102,108,103,104,104,89,117,121,99,96,10902
6, Angels,Angel Stadium,2019-2021,103,105,104,106,103,103,103,96,89,112,104,101,10119
7, Orioles,Oriole Park at Camden Yards,2019-2021,103,100,98,106,101,101,98,95,99,119,97,92,9910
8, Nationals,Nationals Park,2019-2021,103,103,102,106,102,103,100,109,90,110,101,98,10729
9, Royals,Kauffman Stadium,2019-2021,102,99,103,104,103,109,114,119,129,77,89,88,10097
10, D-backs,Chase Field,2019-2021,101,102,102,102,101,102,102,104,161,92,100,100,10602
11, Pirates,PNC Park,2019-2021,100,97,98,100,101,99,94,130,101,82,104,94,10313
12, Astros,Minute Maid Park,2019-2021,100,102,101,100,99,100,101,91,91,112,98,105,10647
13, Indians,Progressive Field,2019-2021,99,101,101,98,98,98,94,111,80,100,100,106,10462
14, Dodgers,Dodger Stadium,2019-2021,99,101,99,98,97,101,102,92,41,119,88,102,10482
15, Brewers,American Family Field,2019-2021,99,100,100,98,98,96,97,89,94,105,100,107,11298
16, Tigers,Comerica Park,2019-2021,99,97,98,98,98,100,99,96,258,91,97,96,9690
17, White Sox,Guaranteed Rate Field,2019-2021,98,98,96,96,98,94,95,82,30,118,104,102,9992
18, Marlins,loanDepot park,2019-2021,98,98,100,96,99,101,103,105,134,83,98,99,10560
19, Cubs,Wrigley Field,2019-2021,97,96,96,94,99,95,95,93,173,88,110,102,10747
20, Cardinals,Busch Stadium,2019-2021,97,93,94,94,99,98,103,89,126,88,100,90,9845
21, Yankees,Yankee Stadium,2019-2021,97,97,98,94,98,97,101,82,66,101,99,102,9973
22, Rays,Tropicana Field,2019-2021,96,98,99,92,96,98,96,108,132,90,92,106,11141
23, Mets,Citi Field,2019-2021,96,98,96,92,96,93,94,88,55,105,100,108,10299
24, Twins,Target Field,2019-2021,96,95,96,92,97,97,98,105,102,83,103,100,10790
25, Mariners,T-Mobile Park,2019-2021,95,96,96,90,96,94,97,88,39,99,101,108,10031
26, Athletics,Oakland Coliseum,2019-2021,94,93,95,88,96,95,97,106,88,80,98,98,10329
27, Padres,Petco Park,2019-2021,94,93,94,88,96,92,93,88,56,97,106,103,11453
28, Giants,Oracle Park,2019-2021,92,93,96,85,95,94,99,90,128,73,97,107,10994
1, Rockies,Coors Field,2018-2020,115,116,115,132,112,119,114,127,201,117,94,91,15559
2, Nationals,Nationals Park,2018-2020,105,105,104,110,104,105,102,109,79,114,103,96,17671
3, Red Sox,Fenway Park,2018-2020,105,106,105,110,104,104,97,138,116,95,102,100,16074
4, Yankees,Yankee Stadium,2018-2020,103,102,102,106,103,103,105,92,79,110,104,97,15994
5, Phillies,Citizens Bank Park,2018-2020,103,104,102,106,101,101,99,94,115,121,98,102,16692
6, Reds,Great American Ball Park,2018-2020,103,107,103,106,100,100,94,95,73,135,105,110,16512
7, Orioles,Oriole Park at Camden Yards,2018-2020,103,101,99,106,101,103,102,93,88,125,96,91,15609
8, Braves,Truist Park,2018-2020,102,102,103,104,103,103,105,106,86,95,101,98,17005
9, Indians,Progressive Field,2018-2020,102,103,104,104,102,102,102,109,73,97,99,104,16689
10, D-backs,Chase Field,2018-2020,101,101,101,102,101,100,100,98,195,95,101,99,16988
11, Royals,Kauffman Stadium,2018-2020,101,98,101,102,103,106,109,113,121,81,97,89,15281
12, Angels,Angel Stadium,2018-2020,101,100,99,102,100,98,96,96,71,112,103,99,15360
13, Twins,Target Field,2018-2020,99,98,100,98,101,100,101,110,97,87,106,100,16591
14, Tigers,Comerica Park,2018-2020,99,97,98,98,99,100,101,97,204,89,95,94,15105
15, Astros,Minute Maid Park,2018-2020,99,101,100,98,98,99,100,90,93,108,100,106,16411
16, Brewers,American Family Field,2018-2020,99,101,100,98,99,96,95,91,96,106,104,110,17346
17, Pirates,PNC Park,2018-2020,99,97,98,98,100,98,95,121,89,84,105,97,16262
18, Cubs,Wrigley Field,2018-2020,99,98,99,98,100,98,99,97,132,92,106,101,15791
19, Dodgers,Dodger Stadium,2018-2020,98,100,99,96,96,100,99,97,38,114,88,103,16741
20, White Sox,Guaranteed Rate Field,2018-2020,98,99,99,96,98,97,99,85,54,111,100,105,15666
21, Padres,Petco Park,2018-2020,97,95,96,94,98,95,95,96,74,95,109,100,16515
22, Rays,Tropicana Field,2018-2020,97,98,98,94,97,96,96,99,131,90,99,105,16714
23, Cardinals,Busch Stadium,2018-2020,96,92,94,92,97,98,105,87,96,87,95,90,15419
24, Mets,Citi Field,2018-2020,95,96,95,90,95,93,93,84,66,107,98,109,16274
25, Mariners,T-Mobile Park,2018-2020,95,96,97,90,95,94,98,85,67,98,95,108,16415
26, Giants,Oracle Park,2018-2020,95,95,98,90,97,97,100,98,147,74,98,103,16424
27, Marlins,loanDepot park,2018-2020,94,93,96,88,97,97,102,100,96,72,98,98,16093
28, Athletics,Oakland Coliseum,2018-2020,94,92,94,88,95,94,95,106,87,80,98,100,15634
1, Rockies,Coors Field,2018-2020,115,116,115,132,112,119,114,127,201,117,94,91,15559
2, Nationals,Nationals Park,2018-2020,105,105,104,110,104,105,102,109,79,114,103,96,17671
3, Red Sox,Fenway Park,2018-2020,105,106,105,110,104,104,97,138,116,95,102,100,16074
4, Yankees,Yankee Stadium,2018-2020,103,102,102,106,103,103,105,92,79,110,104,97,15994
5, Phillies,Citizens Bank Park,2018-2020,103,104,102,106,101,101,99,94,115,121,98,102,16692
6, Reds,Great American Ball Park,2018-2020,103,107,103,106,100,100,94,95,73,135,105,110,16512
7, Orioles,Oriole Park at Camden Yards,2018-2020,103,101,99,106,101,103,102,93,88,125,96,91,15609
8, Braves,Truist Park,2018-2020,102,102,103,104,103,103,105,106,86,95,101,98,17005
9, Indians,Progressive Field,2018-2020,102,103,104,104,102,102,102,109,73,97,99,104,16689
10, D-backs,Chase Field,2018-2020,101,101,101,102,101,100,100,98,195,95,101,99,16988
11, Royals,Kauffman Stadium,2018-2020,101,98,101,102,103,106,109,113,121,81,97,89,15281
12, Angels,Angel Stadium,2018-2020,101,100,99,102,100,98,96,96,71,112,103,99,15360
13, Twins,Target Field,2018-2020,99,98,100,98,101,100,101,110,97,87,106,100,16591
14, Tigers,Comerica Park,2018-2020,99,97,98,98,99,100,101,97,204,89,95,94,15105
15, Astros,Minute Maid Park,2018-2020,99,101,100,98,98,99,100,90,93,108,100,106,16411
16, Brewers,American Family Field,2018-2020,99,101,100,98,99,96,95,91,96,106,104,110,17346
17, Pirates,PNC Park,2018-2020,99,97,98,98,100,98,95,121,89,84,105,97,16262
18, Cubs,Wrigley Field,2018-2020,99,98,99,98,100,98,99,97,132,92,106,101,15791
19, Dodgers,Dodger Stadium,2018-2020,98,100,99,96,96,100,99,97,38,114,88,103,16741
20, White Sox,Guaranteed Rate Field,2018-2020,98,99,99,96,98,97,99,85,54,111,100,105,15666
21, Padres,Petco Park,2018-2020,97,95,96,94,98,95,95,96,74,95,109,100,16515
22, Rays,Tropicana Field,2018-2020,97,98,98,94,97,96,96,99,131,90,99,105,16714
23, Cardinals,Busch Stadium,2018-2020,96,92,94,92,97,98,105,87,96,87,95,90,15419
24, Mets,Citi Field,2018-2020,95,96,95,90,95,93,93,84,66,107,98,109,16274
25, Mariners,T-Mobile Park,2018-2020,95,96,97,90,95,94,98,85,67,98,95,108,16415
26, Giants,Oracle Park,2018-2020,95,95,98,90,97,97,100,98,147,74,98,103,16424
27, Marlins,loanDepot park,2018-2020,94,93,96,88,97,97,102,100,96,72,98,98,16093
28, Athletics,Oakland Coliseum,2018-2020,94,92,94,88,95,94,95,106,87,80,98,100,15634
1, Rockies,Coors Field,2017-2019,115,115,113,132,112,117,112,127,206,116,100,90,20277
2, Rangers,Globe Life Park in Arlington,2017-2019,109,107,106,119,108,109,108,108,131,112,106,90,22493
3, Nationals,Nationals Park,2017-2019,105,106,105,110,104,106,105,108,73,113,101,97,22714
4, Orioles,Oriole Park at Camden Yards,2017-2019,105,103,101,110,103,104,103,98,84,124,101,90,21635
5, Tigers,Comerica Park,2017-2019,103,100,101,106,102,105,106,100,155,100,96,90,20571
6, D-backs,Chase Field,2017-2019,103,104,102,106,101,102,98,109,173,104,98,100,21967
7, Yankees,Yankee Stadium,2017-2019,102,102,102,104,102,101,102,89,73,110,105,102,22477
8, Twins,Target Field,2017-2019,102,102,102,104,102,102,102,109,102,96,103,100,21944
9, Phillies,Citizens Bank Park,2017-2019,102,104,102,104,100,100,97,95,102,120,101,104,21192
10, Reds,Great American Ball Park,2017-2019,102,105,102,104,100,99,94,99,92,121,106,110,20733
11, Red Sox,Fenway Park,2017-2019,102,103,104,104,103,104,102,125,103,85,99,101,20710
12, Braves,Truist Park,2017-2019,101,100,101,102,101,103,104,106,84,93,97,97,21438
13, Brewers,American Family Field,2017-2019,101,103,102,102,100,98,94,101,94,108,106,108,22114
14, Cubs,Wrigley Field,2017-2019,101,101,101,102,102,100,100,101,127,95,107,101,21640
15, Pirates,PNC Park,2017-2019,100,97,98,100,101,101,100,115,86,85,102,92,21481
16, Blue Jays,Rogers Centre,2017-2019,100,101,99,100,98,99,94,106,87,110,96,103,22640
17, Royals,Kauffman Stadium,2017-2019,100,96,98,100,101,102,104,107,131,81,101,90,21282
18, Indians,Progressive Field,2017-2019,100,101,102,100,100,100,102,105,64,95,96,104,21495
19, Astros,Minute Maid Park,2017-2019,99,101,99,98,98,98,97,90,76,113,99,105,23181
20, White Sox,Guaranteed Rate Field,2017-2019,98,100,99,96,98,96,97,89,68,109,100,106,20901
21, Dodgers,Dodger Stadium,2017-2019,97,99,98,94,96,98,97,99,42,107,89,104,21552
22, Angels,Angel Stadium,2017-2019,97,97,96,94,96,96,96,92,70,104,95,102,21148
23, Cardinals,Busch Stadium,2017-2019,96,93,95,92,97,98,103,88,94,88,95,95,21203
24, Athletics,Oakland Coliseum,2017-2019,96,95,96,92,97,96,95,105,112,89,98,99,21916
25, Mets,Citi Field,2017-2019,95,95,95,90,96,93,95,85,75,99,99,106,21626
26, Mariners,T-Mobile Park,2017-2019,95,97,97,90,95,95,98,85,76,98,98,109,22829
27, Padres,Petco Park,2017-2019,95,94,95,90,97,94,96,93,91,88,107,101,20438
