last_name, first_name,year,on_base_percent,barrel_batted_rate,whiff_percent,f_strike_percent,sprint_speed,
Devers, Rafael,2019,.360,9.0,24.0,61.1,27.1,
Jimenez, Eloy,2019,.315,12.8,32.8,66.9,27.7,
Torres, Gleyber,2019,.336,10.1,28.0,61.1,26.5,
Chapman, Matt,2019,.342,12.1,23.7,57.5,28.1,
Hoskins, Rhys,2019,.363,9.7,23.2,54.0,25.9,
Schwarber, Kyle,2019,.339,14.5,28.1,55.6,27.1,
DeJong, Paul,2019,.318,8.6,24.2,61.6,27.6,
Moncada, Yoan,2019,.367,12.2,31.0,64.6,27.8,
Acuna Jr., Ronald,2019,.364,15.0,27.7,61.4,29.4,
Fletcher, David,2019,.349,0.2,9.8,55.6,27.6,
Guerrero Jr., Vladimir,2019,.339,7.7,24.5,64.2,26.3,
Soto, Juan,2019,.401,12.3,24.0,55.5,27.3,
Reynolds, Bryan,2019,.377,6.7,26.3,60.8,28.1,
Hunter, Torii,2015,.293,5.0,23.2,64.0,26.5,
Ortiz, David,2015,.360,13.1,23.2,52.1,23.1,
Rodriguez, Alex,2015,.356,10.9,32.0,60.3,23.9,
Ramirez, Aramis,2015,.297,5.6,17.9,65.5,24.3,
Beltre, Adrian,2015,.334,5.5,16.8,61.9,26.4,
Beltran, Carlos,2015,.337,5.8,18.1,57.3,25.6,
Rollins, Jimmy,2015,.284,2.5,18.2,56.5,27.1,
Pujols, Albert,2015,.307,7.7,16.3,56.0,23.5,
Byrd, Marlon,2015,.290,8.2,31.2,70.4,28.0,
Mauer, Joe,2015,.338,3.7,16.9,57.2,26.5,
Cabrera, Miguel,2015,.440,10.6,23.1,57.5,24.2,
Gonzalez, Adrian,2015,.350,8.1,21.6,54.4,24.0,
Phillips, Brandon,2015,.327,2.3,18.9,62.3,25.8,
Reyes, Jose,2015,.304,0.2,16.4,61.1,27.4,
Peralta, Jhonny,2015,.334,4.4,23.1,60.5,26.0,
Choo, Shin-Soo,2015,.374,8.4,27.0,57.9,26.9,
Molina, Yadier,2015,.309,2.3,17.0,62.3,23.4,
Fielder, Prince,2015,.378,6.4,20.7,56.1,24.9,
Cano, Robinson,2015,.334,7.1,19.1,59.2,24.7,
Encarnacion, Edwin,2015,.372,10.0,23.1,55.6,25.2,
Howard, Ryan,2015,.276,11.7,31.9,57.9,24.3,
Bautista, Jose,2015,.377,12.6,20.4,53.0,25.6,
Jones, Adam,2015,.308,9.2,24.3,65.4,28.1,
Aybar, Erick,2015,.298,0.9,13.4,63.6,28.0,
Martin, Russell,2015,.329,8.2,23.5,57.8,26.3,
Granderson, Curtis,2015,.364,8.3,20.8,53.1,27.6,
Pagan, Angel,2015,.303,0.7,12.4,56.7,28.2,
Morales, Kendrys,2015,.362,8.9,22.9,54.8,24.3,
Kinsler, Ian,2015,.342,2.7,12.3,60.6,26.9,
McCann, Brian,2015,.320,5.3,17.4,55.9,23.2,
Walker, Neil,2015,.328,4.8,19.6,63.0,26.3,
Desmond, Ian,2015,.287,6.9,29.0,65.8,28.7,
Cruz, Nelson,2015,.369,14.1,30.8,59.2,26.2,
