last_name, first_name,year,on_base_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,f_strike_percent,
Betts, Mookie,2015,.339,5.7,37.7,14.7,61.5,
Peterson, Jace,2015,.310,3.3,26.3,22.9,59.3,
Pillar, Kevin,2015,.312,1.8,26.5,18.3,65.1,
Russell, Addison,2015,.306,4.9,28.3,31.1,61.4,
Duffy, Matt,2015,.333,4.0,32.2,18.1,64.4,
Ortiz, David,2016,.401,15.5,47.2,19.3,52.0,
Beltre, Adrian,2016,.358,8.5,40.4,15.2,60.3,
Beltran, Carlos,2016,.337,6.8,38.5,19.6,58.5,
Werth, Jayson,2016,.335,7.4,44.6,20.9,56.8,
Martinez, Victor,2016,.351,8.4,42.1,17.2,57.7,
Utley, Chase,2016,.319,4.3,33.8,18.9,59.3,
Pujols, Albert,2016,.323,9.4,44.1,15.7,55.8,
Mauer, Joe,2016,.363,6.0,42.9,15.4,60.1,
Cabrera, Miguel,2016,.393,15.9,50.6,22.5,58.5,
Gonzalez, Adrian,2016,.349,4.6,33.9,23.0,56.1,
Phillips, Brandon,2016,.318,2.7,25.3,19.1,65.8,
Upton, B.J.,2016,.289,5.8,36.6,34.7,65.7,
Molina, Yadier,2016,.360,3.6,28.1,15.2,62.5,
Cano, Robinson,2016,.350,7.5,42.9,17.3,59.7,
Encarnacion, Edwin,2016,.356,12.1,40.6,23.6,57.7,
Bautista, Jose,2016,.366,8.3,45.7,21.3,56.1,
Jones, Adam,2016,.310,8.0,34.9,26.2,63.1,
Martin, Russell,2016,.335,9.3,40.3,30.0,55.9,
Granderson, Curtis,2016,.335,6.9,33.1,22.1,55.0,
Pagan, Angel,2016,.330,3.0,21.8,11.6,57.8,
Ramirez, Hanley,2016,.361,10.4,41.8,23.9,61.1,
Morales, Kendrys,2016,.327,10.8,49.9,24.0,55.3,
Kendrick, Howie,2016,.326,5.8,42.1,20.8,63.7,
Napoli, Mike,2016,.335,13.3,39.4,30.5,57.1,
Kinsler, Ian,2016,.348,3.8,30.8,15.9,61.4,
Desmond, Ian,2016,.335,7.5,43.6,27.5,65.9,
Cruz, Nelson,2016,.360,16.5,52.4,29.1,57.7,
Trumbo, Mark,2016,.316,15.6,44.9,29.3,63.6,
Escobar, Alcides,2016,.287,1.4,17.6,21.0,67.9,
Prado, Martin,2016,.359,1.3,30.8,10.5,64.0,
Longoria, Evan,2016,.318,12.1,41.5,26.1,61.8,
Cozart, Zack,2016,.307,2.3,27.5,18.7,60.6,
Davis, Chris,2016,.332,15.1,44.0,37.1,58.0,
Zobrist, Ben,2016,.384,4.5,35.4,13.0,56.7,
Fowler, Dexter,2016,.392,5.6,33.5,22.1,58.1,
Headley, Chase,2016,.331,5.9,33.6,24.9,59.4,
Span, Denard,2016,.328,2.8,29.7,14.0,58.9,
Cabrera, Asdrubal,2016,.336,5.7,33.3,23.1,59.7,
Ellsbury, Jacoby,2016,.321,1.7,31.4,16.7,62.8,
Tulowitzki, Troy,2016,.318,9.6,40.8,20.9,59.4,
Blackmon, Charlie,2016,.379,6.8,33.5,17.1,54.6,
Frazier, Todd,2016,.302,10.1,35.6,28.3,60.7,
Markakis, Nick,2016,.346,4.9,42.8,12.8,55.4,
Pedroia, Dustin,2016,.375,2.5,28.9,12.2,58.0,
Nunez, Eduardo,2016,.324,4.4,37.0,17.2,63.7,
McCutchen, Andrew,2016,.336,8.5,41.7,25.5,58.5,
Upton, Justin,2016,.310,12.5,45.5,30.9,55.6,
Turner, Justin,2016,.339,8.8,41.4,18.6,60.5,
Posey, Buster,2016,.362,6.9,43.2,14.1,60.7,
Espinosa, Danny,2016,.303,8.5,33.7,33.2,54.4,
Bruce, Jay,2016,.309,8.7,38.5,26.0,57.0,
Votto, Joey,2016,.434,9.7,39.9,18.6,54.4,
Gardner, Brett,2016,.349,2.4,24.0,15.3,52.4,
Saunders, Michael,2016,.337,7.7,44.5,29.2,55.2,
Braun, Ryan,2016,.365,8.4,38.9,20.9,59.4,
Gordon, Alex,2016,.312,8.7,36.6,29.4,59.5,
Kemp, Matt,2016,.304,11.1,38.0,29.4,63.2,
Andrus, Elvis,2016,.359,1.8,31.8,16.3,64.1,
Cabrera, Melky,2016,.344,2.1,34.2,14.0,55.4,
Ramos, Wilson,2016,.354,7.4,43.2,19.1,60.8,
Santana, Carlos,2016,.366,9.8,43.2,19.2,52.6,
Gonzalez, Carlos,2016,.350,8.6,41.4,30.7,57.3,
Mercer, Jordy,2016,.324,2.2,26.3,15.1,61.6,
Belt, Brandon,2016,.394,11.3,32.4,25.3,56.3,
Carter, Chris,2016,.321,17.6,46.2,38.4,58.7,
Alonso, Yonder,2016,.316,4.1,37.4,17.7,61.7,
Escobar, Yunel,2016,.353,2.8,36.3,16.6,65.0,
Cespedes, Yoenis,2016,.354,9.8,47.5,24.7,59.3,
